#Station Long Name,ORARA RIVER AT BAWDEN BRIDGE
#Station Number,204041
#Station Location Latitude,-29.721692
#Station Location Longitude,152.809934
#Parameter Type Name,Water Course Level
#Timeseries Name,DMQaQc.Merged.DailyMean.24HR
#Unit Name,meter
#DATA_OWNER_NAME,"NSW - Department of Planning, Industry and Environment – Water"
#Rows,23056
#Timestamp,Value,Quality Code,Interpolation Type
1960-06-29T00:00:00.000+10:00,,-1,603
1960-06-30T00:00:00.000+10:00,0.973,90,603
1960-07-01T00:00:00.000+10:00,0.952,90,603
1960-07-02T00:00:00.000+10:00,0.956,90,603
1960-07-03T00:00:00.000+10:00,0.977,90,603
1960-07-04T00:00:00.000+10:00,0.969,90,603
1960-07-05T00:00:00.000+10:00,0.961,90,603
1960-07-06T00:00:00.000+10:00,0.986,90,603
1960-07-07T00:00:00.000+10:00,0.952,90,603
1960-07-08T00:00:00.000+10:00,0.926,90,603
1960-07-09T00:00:00.000+10:00,0.922,90,603
1960-07-10T00:00:00.000+10:00,0.948,90,603
1960-07-11T00:00:00.000+10:00,0.954,90,603
1960-07-12T00:00:00.000+10:00,0.940,90,603
1960-07-13T00:00:00.000+10:00,0.931,90,603
1960-07-14T00:00:00.000+10:00,0.939,90,603
1960-07-15T00:00:00.000+10:00,0.917,90,603
1960-07-16T00:00:00.000+10:00,0.900,90,603
1960-07-17T00:00:00.000+10:00,0.876,90,603
1960-07-18T00:00:00.000+10:00,0.864,90,603
1960-07-19T00:00:00.000+10:00,0.845,90,603
1960-07-20T00:00:00.000+10:00,0.829,90,603
1960-07-21T00:00:00.000+10:00,0.826,90,603
1960-07-22T00:00:00.000+10:00,0.816,90,603
1960-07-23T00:00:00.000+10:00,0.791,90,603
1960-07-24T00:00:00.000+10:00,0.782,90,603
1960-07-25T00:00:00.000+10:00,0.774,90,603
1960-07-26T00:00:00.000+10:00,0.769,90,603
1960-07-27T00:00:00.000+10:00,0.764,90,603
1960-07-28T00:00:00.000+10:00,0.771,90,603
1960-07-29T00:00:00.000+10:00,0.784,90,603
1960-07-30T00:00:00.000+10:00,0.787,90,603
1960-07-31T00:00:00.000+10:00,0.780,90,603
1960-08-01T00:00:00.000+10:00,0.751,90,603
1960-08-02T00:00:00.000+10:00,0.744,90,603
1960-08-03T00:00:00.000+10:00,0.749,90,603
1960-08-04T00:00:00.000+10:00,0.743,90,603
1960-08-05T00:00:00.000+10:00,,-1,603
1960-08-06T00:00:00.000+10:00,,-1,603
1960-08-07T00:00:00.000+10:00,,-1,603
1960-08-08T00:00:00.000+10:00,,-1,603
1960-08-09T00:00:00.000+10:00,,-1,603
1960-08-10T00:00:00.000+10:00,,-1,603
1960-08-11T00:00:00.000+10:00,,-1,603
1960-08-12T00:00:00.000+10:00,,-1,603
1960-08-13T00:00:00.000+10:00,,-1,603
1960-08-14T00:00:00.000+10:00,,-1,603
1960-08-15T00:00:00.000+10:00,,-1,603
1960-08-16T00:00:00.000+10:00,,-1,603
1960-08-17T00:00:00.000+10:00,,-1,603
1960-08-18T00:00:00.000+10:00,,-1,603
1960-08-19T00:00:00.000+10:00,,-1,603
1960-08-20T00:00:00.000+10:00,,-1,603
1960-08-21T00:00:00.000+10:00,,-1,603
1960-08-22T00:00:00.000+10:00,,-1,603
1960-08-23T00:00:00.000+10:00,,-1,603
1960-08-24T00:00:00.000+10:00,0.708,90,603
1960-08-25T00:00:00.000+10:00,0.678,90,603
1960-08-26T00:00:00.000+10:00,0.705,90,603
1960-08-27T00:00:00.000+10:00,0.687,90,603
1960-08-28T00:00:00.000+10:00,0.692,90,603
1960-08-29T00:00:00.000+10:00,0.688,90,603
1960-08-30T00:00:00.000+10:00,0.681,90,603
1960-08-31T00:00:00.000+10:00,0.679,90,603
1960-09-01T00:00:00.000+10:00,0.681,90,603
1960-09-02T00:00:00.000+10:00,0.675,90,603
1960-09-03T00:00:00.000+10:00,0.667,90,603
1960-09-04T00:00:00.000+10:00,0.667,90,603
1960-09-05T00:00:00.000+10:00,0.657,90,603
1960-09-06T00:00:00.000+10:00,0.662,90,603
1960-09-07T00:00:00.000+10:00,0.658,90,603
1960-09-08T00:00:00.000+10:00,0.651,90,603
1960-09-09T00:00:00.000+10:00,0.640,90,603
1960-09-10T00:00:00.000+10:00,0.638,90,603
1960-09-11T00:00:00.000+10:00,0.629,90,603
1960-09-12T00:00:00.000+10:00,0.623,90,603
1960-09-13T00:00:00.000+10:00,0.634,90,603
1960-09-14T00:00:00.000+10:00,0.618,90,603
1960-09-15T00:00:00.000+10:00,0.626,90,603
1960-09-16T00:00:00.000+10:00,0.621,90,603
1960-09-17T00:00:00.000+10:00,0.622,90,603
1960-09-18T00:00:00.000+10:00,0.649,90,603
1960-09-19T00:00:00.000+10:00,0.643,90,603
1960-09-20T00:00:00.000+10:00,0.616,90,603
1960-09-21T00:00:00.000+10:00,0.594,90,603
1960-09-22T00:00:00.000+10:00,0.586,90,603
1960-09-23T00:00:00.000+10:00,0.590,90,603
1960-09-24T00:00:00.000+10:00,0.580,90,603
1960-09-25T00:00:00.000+10:00,0.599,90,603
1960-09-26T00:00:00.000+10:00,0.618,90,603
1960-09-27T00:00:00.000+10:00,0.654,90,603
1960-09-28T00:00:00.000+10:00,0.620,90,603
1960-09-29T00:00:00.000+10:00,0.578,90,603
1960-09-30T00:00:00.000+10:00,0.552,90,603
1960-10-01T00:00:00.000+10:00,0.528,90,603
1960-10-02T00:00:00.000+10:00,0.514,90,603
1960-10-03T00:00:00.000+10:00,0.515,90,603
1960-10-04T00:00:00.000+10:00,0.502,90,603
1960-10-05T00:00:00.000+10:00,0.485,90,603
1960-10-06T00:00:00.000+10:00,0.469,90,603
1960-10-07T00:00:00.000+10:00,0.471,90,603
1960-10-08T00:00:00.000+10:00,0.462,90,603
1960-10-09T00:00:00.000+10:00,0.451,90,603
1960-10-10T00:00:00.000+10:00,0.438,90,603
1960-10-11T00:00:00.000+10:00,0.423,90,603
1960-10-12T00:00:00.000+10:00,0.415,90,603
1960-10-13T00:00:00.000+10:00,0.413,90,603
1960-10-14T00:00:00.000+10:00,0.401,90,603
1960-10-15T00:00:00.000+10:00,0.469,90,603
1960-10-16T00:00:00.000+10:00,0.477,90,603
1960-10-17T00:00:00.000+10:00,0.446,90,603
1960-10-18T00:00:00.000+10:00,0.457,90,603
